Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,,,,,,,,,,,,,,,,,
1,162020231,162020820,chr1-162020231-162020820,Stable,Closing,Closing,23,Dnm3,-37778,,,,,,,,,,,,,,,,,,,,,,,,,,
1,138928758,138929259,chr1-138928758-138929259,Stable,Closing,Closing,23,Lhx9,-103572,,,,,,,,,,,,,,,,,,,,,,,,,,
9,94691939,94692440,chr9-94691939-94692440,Stable,Closing,Closing,23,Slc9a9,-22030,,,,,,,,,,,,,,,,,,,,,,,,,,
11,87555113,87555614,chr11-87555113-87555614,Stable,Closing,Closing,23,Tspoap1,204927,,,,,,,,,,,,,,,,,,,,,,,,,,
1,133057405,133058139,chr1-133057405-133058139,Stable,Stable,Closing,26,Plekha6,106071,,,Lrrn2,-177132,,,,,,,,,,,,,,,,,,,,,,
1,158267043,158267544,chr1-158267043-158267544,Closing,Stable,Closing,17,Brinp2,-21774,,,Astn1,94729,,,,,,,,,,,,,,,,,,,,,,
16,32859130,32859631,chr16-32859130-32859631,Stable,Closing,Closing,23,Iqcg,153052,,,,,,,,,,,,,,,,,,,,,,,,,,
3,80506612,80507113,chr3-80506612-80507113,Stable,Closing,Closing,23,Gria2,174337,,,,,,,,,,,,,,,,,,,,,,,,,,
7,118929915,118930416,chr7-118929915-118930416,Stable,Closing,Closing,23,Iqck,-74163,,,Gpr139,210331,,,,,,,,,,,,,,,,,,,,,,
9,110084034,110084535,chr9-110084034-110084535,Stable,Closing,Closing,23,Cspg5,159248,,,,,,,,,,,,,,,,,,,,,,,,,,
6,71554513,71555014,chr6-71554513-71555014,Stable,Stable,Closing,26,Reep1,152547,,,,,,,,,,,,,,,,,,,,,,,,,,
6,50720375,50720876,chr6-50720375-50720876,Stable,Closing,Closing,23,4921507P07Rik,-147073,,,,,,,,,,,,,,,,,,,,,,,,,,
6,124345040,124345541,chr6-124345040-124345541,Stable,Stable,Closing,26,Clstn3,85040,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10642380,10642881,chr15-10642380-10642881,Stable,Closing,Closing,23,Dnajc21,-195624,,,,,,,,,,,,,,,,,,,,,,,,,,
16,42152576,42153077,chr16-42152576-42153077,Stable,Closing,Closing,23,Gap43,95365,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14979202,14979703,chr16-14979202-14979703,Stable,Closing,Closing,23,Efcab1,-72596,,,,,,,,,,,,,,,,,,,,,,,,,,
9,72640201,72640702,chr9-72640201-72640702,Stable,Closing,Closing,23,Mns1,-202190,,,,,,,,,,,,,,,,,,,,,,,,,,
9,105794893,105795697,chr9-105794893-105795697,Stable,Closing,Closing,23,Col6a6,-107084,,,,,,,,,,,,,,,,,,,,,,,,,,
2,145769803,145771142,chr2-145769803-145771142,Stable,Closing,Closing,23,Rin2,-94588,,,,,,,,,,,,,,,,,,,,,,,,,,
4,47293823,47294451,chr4-47293823-47294451,Stable,Closing,Closing,23,Col15a1,-85662,,,,,,,,,,,,,,,,,,,,,,,,,,
2,158179140,158180070,chr2-158179140-158180070,Stable,Closing,Closing,23,Snhg11,195568,,,,,,,,,,,,,,,,,,,,,,,,,,
7,97183458,97183959,chr7-97183458-97183959,Stable,Closing,Closing,23,Thrsp,228979,,,,,,,,,,,,,,,,,,,,,,,,,,
3,154570705,154571459,chr3-154570705-154571459,Stable,Stable,Closing,26,Erich3,92400,,,,,,,,,,,,,,,,,,,,,,,,,,
4,95742945,95743446,chr4-95742945-95743446,Stable,Closing,Closing,23,Hook1,223794,,,,,,,,,,,,,,,,,,,,,,,,,,
8,116480804,116481305,chr8-116480804-116481305,Stable,Stable,Closing,26,Dynlrb2,23669,,,,,,,,,,,,,,,,,,,,,,,,,,
17,46629663,46630164,chr17-46629663-46630164,Stable,Stable,Closing,26,Zfp318,-245932,,,,,,,,,,,,,,,,,,,,,,,,,,
2,179869786,179870287,chr2-179869786-179870287,Stable,Closing,Closing,23,Ss18l1,172222,,,,,,,,,,,,,,,,,,,,,,,,,,
11,50632207,50632708,chr11-50632207-50632708,Stable,Closing,Closing,23,Zfp354c,178378,,,Zfp454,240012,,,,,,,,,,,,,,,,,,,,,,
19,53084633,53085134,chr19-53084633-53085134,Stable,Closing,Closing,23,Mxi1,225384,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34030910,34031411,chr2-34030910-34031411,Stable,Closing,Closing,23,Pbx3,140046,,,,,,,,,,,,,,,,,,,,,,,,,,
13,70724527,70725028,chr13-70724527-70725028,Stable,Closing,Closing,23,Adamts16,2774,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4273807,4274308,chr16-4273807-4274308,Stable,Closing,Closing,23,Adcy9,13221,,,,,,,,,,,,,,,,,,,,,,,,,,
9,94701287,94701788,chr9-94701287-94701788,Stable,Closing,Closing,23,Slc9a9,-31378,,,,,,,,,,,,,,,,,,,,,,,,,,
16,44631698,44632199,chr16-44631698-44632199,Stable,Stable,Closing,26,Boc,-146649,,,Cfap44,-236902,,,,,,,,,,,,,,,,,,,,,,
9,37013503,37014004,chr9-37013503-37014004,Stable,Closing,Closing,23,Fez1,-191639,,,,,,,,,,,,,,,,,,,,,,,,,,
2,132103145,132103646,chr2-132103145-132103646,Stable,Closing,Closing,23,Rassf2,-113730,,,,,,,,,,,,,,,,,,,,,,,,,,
9,37808362,37809424,chr9-37808362-37809424,Stable,Closing,Closing,23,Spa17,-205072,,,,,,,,,,,,,,,,,,,,,,,,,,
2,136670549,136671050,chr2-136670549-136671050,Stable,Closing,Closing,23,Snap25,42403,,,Ankef1,-168639,,,,,,,,,,,,,,,,,,,,,,
1,78448020,78448521,chr1-78448020-78448521,Stable,Closing,Closing,23,Acsl3,209304,,,,,,,,,,,,,,,,,,,,,,,,,,
15,25940763,25941264,chr15-25940763-25941264,Stable,Stable,Closing,26,Retreg1,-97583,,,,,,,,,,,,,,,,,,,,,,,,,,
5,103829146,103829831,chr5-103829146-103829831,Stable,Closing,Closing,23,Klhl8,32142,,,Sparcl1,249280,,,,,,,,,,,,,,,,,,,,,,
1,20997434,20998435,chr1-20997434-20998435,Stable,Closing,Closing,23,Efhc1,-45808,,,,,,,,,,,,,,,,,,,,,,,,,,
2,180126147,180126648,chr2-180126147-180126648,Stable,Stable,Closing,26,Ss18l1,-83638,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24553450,24553951,chr1-24553450-24553951,Stable,Closing,Closing,23,Lmbrd1,124679,,,,,,,,,,,,,,,,,,,,,,,,,,
5,112960835,112961336,chr5-112960835-112961336,Stable,Closing,Closing,23,Grk3,-50353,,,,,,,,,,,,,,,,,,,,,,,,,,
2,148622198,148622699,chr2-148622198-148622699,Stable,Closing,Closing,23,Gzf1,58324,,,Napb,71286,,,,,,,,,,,,,,,,,,,,,,
10,127421983,127422484,chr10-127421983-127422484,Stable,Stable,Closing,26,Kif5a,-196287,,,,,,,,,,,,,,,,,,,,,,,,,,
10,83805281,83805782,chr10-83805281-83805782,Stable,Closing,Closing,23,Appl2,-205248,,,,,,,,,,,,,,,,,,,,,,,,,,
15,25682988,25683489,chr15-25682988-25683489,Stable,Closing,Closing,23,Retreg1,159691,,,,,,,,,,,,,,,,,,,,,,,,,,
8,120004196,120004697,chr8-120004196-120004697,Stable,Closing,Closing,23,6430548M08Rik,109455,,,Fam92b,161700,,,,,,,,,,,,,,,,,,,,,,
4,101276506,101277007,chr4-101276506-101277007,Stable,Closing,Closing,23,Dnajc6,219624,,,,,,,,,,,,,,,,,,,,,,,,,,
3,116076514,116077195,chr3-116076514-116077195,Stable,Closing,Closing,23,Gpr88,172459,,,,,,,,,,,,,,,,,,,,,,,,,,
19,42017373,42018259,chr19-42017373-42018259,Stable,Closing,Closing,23,Morn4,56680,,,,,,,,,,,,,,,,,,,,,,,,,,
15,25723556,25724057,chr15-25723556-25724057,Stable,Closing,Closing,23,Retreg1,119123,,,,,,,,,,,,,,,,,,,,,,,,,,
1,194938639,194939140,chr1-194938639-194939140,Stable,Closing,Closing,23,Cd46,97686,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19095754,19096255,chr7-19095754-19096255,Stable,Closing,Closing,23,Nova2,-169866,,,Fosb,206441,,,,,,,,,,,,,,,,,,,,,,
9,120734015,120734516,chr9-120734015-120734516,Stable,Stable,Closing,26,Ulk4,220835,,,,,,,,,,,,,,,,,,,,,,,,,,
2,102880377,102880878,chr2-102880377-102880878,Stable,Closing,Closing,23,Slc1a2,-221718,,,,,,,,,,,,,,,,,,,,,,,,,,
5,108717985,108718486,chr5-108717985-108718486,Stable,Closing,Closing,23,Cplx1,-199431,,,,,,,,,,,,,,,,,,,,,,,,,,
10,34071041,34071542,chr10-34071041-34071542,Stable,Closing,Closing,23,Rsph4a,-165930,,,Tspyl4,225900,,,,,,,,,,,,,,,,,,,,,,
14,70176744,70177245,chr14-70176744-70177245,Stable,Closing,Closing,23,Ccar2,-38580,,,,,,,,,,,,,,,,,,,,,,,,,,
19,37907856,37908357,chr19-37907856-37908357,Stable,Closing,Closing,23,Cyp26a1,-210058,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146299908,146300409,chr2-146299908-146300409,Stable,Closing,Closing,23,Insm1,-77987,,,,,,,,,,,,,,,,,,,,,,,,,,
11,116387424,116387925,chr11-116387424-116387925,Stable,Stable,Closing,26,Foxj1,-56720,,,,,,,,,,,,,,,,,,,,,,,,,,
7,100733172,100733673,chr7-100733172-100733673,Stable,Closing,Closing,23,Plekhb1,-90280,,,Dnajb13,-231456,,,,,,,,,,,,,,,,,,,,,,
16,38653403,38653904,chr16-38653403-38653904,Stable,Stable,Closing,26,Igsf11,238767,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22846033,22846534,chr6-22846033-22846534,Stable,Closing,Closing,23,Ptprz1,28968,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24609446,24609947,chr6-24609446-24609947,Stable,Closing,Closing,23,Iqub,-164581,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24707343,24707844,chr12-24707343-24707844,Stable,Closing,Closing,23,Mboat2,123035,,,,,,,,,,,,,,,,,,,,,,,,,,
8,41015914,41016752,chr8-41015914-41016752,Stable,Closing,Closing,23,Slc7a2,-153518,,,,,,,,,,,,,,,,,,,,,,,,,,
3,108318867,108319690,chr3-108318867-108319690,Stable,Stable,Closing,26,Atxn7l2,-116645,,,1700013F07Rik,214460,,,,,,,,,,,,,,,,,,,,,,
10,92578874,92579375,chr10-92578874-92579375,Stable,Closing,Closing,23,Cfap54,196244,,,,,,,,,,,,,,,,,,,,,,,,,,
3,55214022,55214523,chr3-55214022-55214523,Stable,Closing,Closing,23,Dclk1,27841,,,Ccna1,-168553,,,,,,,,,,,,,,,,,,,,,,
1,164461702,164462203,chr1-164461702-164462203,Stable,Stable,Closing,26,Ccdc181,-186117,,,,,,,,,,,,,,,,,,,,,,,,,,
1,66226527,66227371,chr1-66226527-66227371,Stable,Closing,Closing,23,Map2,-51254,,,Unc80,240996,,,,,,,,,,,,,,,,,,,,,,
13,92675246,92675747,chr13-92675246-92675747,Stable,Closing,Closing,23,Serinc5,-64155,,,,,,,,,,,,,,,,,,,,,,,,,,
4,148513121,148513622,chr4-148513121-148513622,Stable,Closing,Closing,23,Tardbp,98760,,,,,,,,,,,,,,,,,,,,,,,,,,
12,98602119,98602620,chr12-98602119-98602620,Stable,Stable,Closing,26,Spata7,25537,,,Eml5,184185,,,,,,,,,,,,,,,,,,,,,,
3,30546754,30547255,chr3-30546754-30547255,Stable,Closing,Closing,23,Lrrc34,77012,,,,,,,,,,,,,,,,,,,,,,,,,,
3,68764885,68765386,chr3-68764885-68765386,Stable,Closing,Closing,23,Ift80,127113,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39539417,39540192,chr6-39539417-39540192,Stable,Stable,Closing,26,Mkrn1,-141613,,,,,,,,,,,,,,,,,,,,,,,,,,
1,190900830,190901331,chr1-190900830-190901331,Stable,Stable,Closing,26,Tatdn3,144495,,,,,,,,,,,,,,,,,,,,,,,,,,
4,138213796,138214297,chr4-138213796-138214297,Stable,Stable,Closing,26,Hp1bp3,1999,,,Sh2d5,36106,Pink1,99112,,,,,,,,,,,,,,,,,,,,
6,5935530,5936031,chr6-5935530-5936031,Stable,Closing,Closing,23,Dync1i1,-209891,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5089879,5090380,chr3-5089879-5090380,Stable,Stable,Closing,26,Zfhx4,128146,,,,,,,,,,,,,,,,,,,,,,,,,,
1,178716390,178716891,chr1-178716390-178716891,Stable,Closing,Closing,23,Kif26b,-187265,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11391460,11391961,chr12-11391460-11391961,Stable,Closing,Closing,23,Vsnl1,-66218,,,,,,,,,,,,,,,,,,,,,,,,,,
4,126260731,126261232,chr4-126260731-126261232,Stable,Closing,Closing,23,Oscp1,-202166,,,Ago4,228309,,,,,,,,,,,,,,,,,,,,,,
13,91741519,91742020,chr13-91741519-91742020,Stable,Closing,Closing,23,Rasgrf2,138380,,,,,,,,,,,,,,,,,,,,,,,,,,
7,122804083,122804584,chr7-122804083-122804584,Stable,Closing,Closing,23,Rbbp6,161102,,,,,,,,,,,,,,,,,,,,,,,,,,
8,91190901,91191402,chr8-91190901-91191402,Stable,Stable,Closing,26,Rpgrip1l,25628,,,,,,,,,,,,,,,,,,,,,,,,,,
5,120567101,120567602,chr5-120567101-120567602,Stable,Stable,Closing,26,Dtx1,112600,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30636276,30636777,chr6-30636276-30636777,Stable,Stable,Closing,26,Cep41,16680,,,,,,,,,,,,,,,,,,,,,,,,,,
3,55590200,55590701,chr3-55590200-55590701,Stable,Closing,Closing,23,Nbea,34494,,,,,,,,,,,,,,,,,,,,,,,,,,
17,31309314,31309815,chr17-31309314-31309815,Stable,Closing,Closing,23,Rsph1,-54295,,,,,,,,,,,,,,,,,,,,,,,,,,
4,140770372,140770969,chr4-140770372-140770969,Stable,Stable,Closing,26,Padi2,135375,,,,,,,,,,,,,,,,,,,,,,,,,,
14,19767346,19767847,chr14-19767346-19767847,Stable,Closing,Closing,23,Gng2,104712,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6913767,6914268,chr7-6913767-6914268,Stable,Closing,Closing,23,Usp29,-183189,,,Zfp773,212805,,,,,,,,,,,,,,,,,,,,,,
11,100415042,100415825,chr11-100415042-100415825,Stable,Closing,Closing,23,Hap1,-67715,,,Ttc25,129782,Cnp,159079,,,,,,,,,,,,,,,,,,,,
1,159392927,159393783,chr1-159392927-159393783,Stable,Stable,Closing,26,Tnr,129986,,,,,,,,,,,,,,,,,,,,,,,,,,
11,80602013,80602703,chr11-80602013-80602703,Stable,Stable,Closing,26,Cdk5r1,-124990,,,,,,,,,,,,,,,,,,,,,,,,,,
4,155173417,155173918,chr4-155173417-155173918,Stable,Closing,Closing,23,Morn1,-86840,,,,,,,,,,,,,,,,,,,,,,,,,,
9,103007611,103008424,chr9-103007611-103008424,Stable,Closing,Closing,23,Rab6b,103363,,,,,,,,,,,,,,,,,,,,,,,,,,
5,51479725,51480226,chr5-51479725-51480226,Stable,Closing,Closing,23,Ppargc1a,-25475,,,,,,,,,,,,,,,,,,,,,,,,,,
13,58694558,58695059,chr13-58694558-58695059,Stable,Closing,Closing,23,Ntrk2,111510,,,,,,,,,,,,,,,,,,,,,,,,,,
18,43405202,43405929,chr18-43405202-43405929,Stable,Closing,Closing,23,Jakmip2,125478,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16063911,16064412,chr5-16063911-16064412,Stable,Closing,Closing,23,Cacna2d1,-129220,,,,,,,,,,,,,,,,,,,,,,,,,,
15,99803315,99803816,chr15-99803315-99803816,Stable,Closing,Closing,23,Asic1,-132947,,,,,,,,,,,,,,,,,,,,,,,,,,
7,29179240,29179741,chr7-29179240-29179741,Stable,Closing,Closing,23,Spint2,76582,,,,,,,,,,,,,,,,,,,,,,,,,,
4,44028383,44028884,chr4-44028383-44028884,Stable,Closing,Closing,23,Clta,-23931,,,,,,,,,,,,,,,,,,,,,,,,,,
11,54882654,54883155,chr11-54882654-54883155,Stable,Closing,Closing,23,Gm2a,214960,,,,,,,,,,,,,,,,,,,,,,,,,,
3,63755554,63756055,chr3-63755554-63756055,Stable,Closing,Closing,23,Plch1,-59320,,,,,,,,,,,,,,,,,,,,,,,,,,
3,57428661,57429162,chr3-57428661-57429162,Stable,Closing,Closing,23,Ankub1,228231,,,,,,,,,,,,,,,,,,,,,,,,,,
16,31551583,31552084,chr16-31551583-31552084,Stable,Stable,Closing,26,Bdh1,-129303,,,,,,,,,,,,,,,,,,,,,,,,,,
5,43959981,43960482,chr5-43959981-43960482,Stable,Closing,Closing,23,Prom1,33138,,,,,,,,,,,,,,,,,,,,,,,,,,
3,55599755,55600716,chr3-55599755-55600716,Stable,Closing,Closing,23,Nbea,24479,,,,,,,,,,,,,,,,,,,,,,,,,,
15,88943862,88944363,chr15-88943862-88944363,Stable,Closing,Closing,23,Mlc1,11521,,,,,,,,,,,,,,,,,,,,,,,,,,
13,119635486,119635987,chr13-119635486-119635987,Stable,Stable,Closing,26,Nim1k,74107,,,,,,,,,,,,,,,,,,,,,,,,,,
16,91452458,91452959,chr16-91452458-91452959,Stable,Closing,Closing,23,Olig1,-182686,,,Olig2,-227001,,,,,,,,,,,,,,,,,,,,,,
12,12316883,12317384,chr12-12316883-12317384,Stable,Closing,Closing,23,Fam49a,-54744,,,,,,,,,,,,,,,,,,,,,,,,,,
9,75422347,75422848,chr9-75422347-75422848,Stable,Closing,Closing,23,Tmod2,142773,,,Scg3,220341,,,,,,,,,,,,,,,,,,,,,,
15,82206325,82206826,chr15-82206325-82206826,Stable,Closing,Closing,23,3-Sep,61976,,,,,,,,,,,,,,,,,,,,,,,,,,
2,152925465,152925966,chr2-152925465-152925966,Stable,Closing,Closing,23,Ttll9,36519,,,,,,,,,,,,,,,,,,,,,,,,,,
17,25083406,25083907,chr17-25083406-25083907,Stable,Closing,Closing,23,Gnptg,149424,,,,,,,,,,,,,,,,,,,,,,,,,,
4,102568468,102568969,chr4-102568468-102568969,Stable,Closing,Closing,23,Sgip1,172328,,,,,,,,,,,,,,,,,,,,,,,,,,
18,35874264,35874765,chr18-35874264-35874765,Stable,Stable,Closing,26,Psd2,90065,,,,,,,,,,,,,,,,,,,,,,,,,,
5,67594993,67595494,chr5-67594993-67595494,Stable,Closing,Closing,23,Shisa3,12388,,,Atp8a1,22646,,,,,,,,,,,,,,,,,,,,,,
15,10661892,10662393,chr15-10661892-10662393,Stable,Closing,Closing,23,Dnajc21,-215136,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18436018,18436519,chr10-18436018-18436519,Stable,Closing,Closing,23,Arfgef3,145320,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4911405,4911906,chr7-4911405-4911906,Stable,Closing,Closing,23,Shisa7,-85853,,,,,,,,,,,,,,,,,,,,,,,,,,
9,42463417,42463918,chr9-42463417-42463918,Stable,Stable,Closing,26,Tecta,-133798,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22342766,22343267,chr4-22342766-22343267,Stable,Closing,Closing,23,Pou3f2,139513,,,,,,,,,,,,,,,,,,,,,,,,,,
4,94826825,94827481,chr4-94826825-94827481,Stable,Closing,Closing,23,Jun,221553,,,,,,,,,,,,,,,,,,,,,,,,,,
12,73810358,73810859,chr12-73810358-73810859,Stable,Closing,Closing,23,Syt16,186802,,,,,,,,,,,,,,,,,,,,,,,,,,
11,61615631,61616376,chr11-61615631-61616376,Stable,Closing,Closing,23,Ulk2,159273,,,Rnf112,-167189,,,,,,,,,,,,,,,,,,,,,,
6,114403574,114404075,chr6-114403574-114404075,Stable,Closing,Closing,23,Slc6a1,-120939,,,,,,,,,,,,,,,,,,,,,,,,,,
17,34655517,34656018,chr17-34655517-34656018,Stable,Closing,Closing,23,Prrt1,-25984,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20843162,20844122,chr10-20843162-20844122,Stable,Closing,Closing,23,Ahi1,108425,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37747871,37748680,chr2-37747871-37748680,Stable,Stable,Closing,26,Crb2,27569,,,,,,,,,,,,,,,,,,,,,,,,,,
12,105563653,105564154,chr12-105563653-105564154,Stable,Stable,Closing,26,D430019H16Rik,-109797,,,,,,,,,,,,,,,,,,,,,,,,,,
3,126989879,126990380,chr3-126989879-126990380,Stable,Closing,Closing,23,Ank2,-68267,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28919735,28920236,chr7-28919735-28920236,Stable,Closing,Closing,23,Sirt2,-153000,,,,,,,,,,,,,,,,,,,,,,,,,,
15,85166393,85166894,chr15-85166393-85166894,Stable,Closing,Closing,23,Ribc2,-34315,,,,,,,,,,,,,,,,,,,,,,,,,,
4,130798415,130798916,chr4-130798415-130798916,Stable,Stable,Closing,26,Sdc3,-5878,,,,,,,,,,,,,,,,,,,,,,,,,,
16,96159189,96159690,chr16-96159189-96159690,Stable,Closing,Closing,23,B3galt5,76111,,,,,,,,,,,,,,,,,,,,,,,,,,
18,33510193,33510694,chr18-33510193-33510694,Stable,Stable,Closing,26,Nrep,-73174,,,,,,,,,,,,,,,,,,,,,,,,,,
11,54060300,54060801,chr11-54060300-54060801,Stable,Closing,Closing,23,Acsl6,242997,,,,,,,,,,,,,,,,,,,,,,,,,,
7,125580626,125581127,chr7-125580626-125581127,Stable,Closing,Closing,23,D430042O09Rik,126761,,,,,,,,,,,,,,,,,,,,,,,,,,
19,37514857,37515358,chr19-37514857-37515358,Stable,Closing,Closing,23,Cyp26a1,182440,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21767836,21768337,chr9-21767836-21768337,Stable,Closing,Closing,23,Elavl3,246668,,,,,,,,,,,,,,,,,,,,,,,,,,
12,41565864,41566507,chr12-41565864-41566507,Stable,Closing,Closing,23,Lrrn3,-114196,,,,,,,,,,,,,,,,,,,,,,,,,,
2,152738881,152739382,chr2-152738881-152739382,Stable,Closing,Closing,23,Ttll9,223103,,,,,,,,,,,,,,,,,,,,,,,,,,
18,25634474,25634975,chr18-25634474-25634975,Stable,Closing,Closing,23,Celf4,-156842,,,,,,,,,,,,,,,,,,,,,,,,,,
7,18858530,18859031,chr7-18858530-18859031,Stable,Closing,Closing,23,Nova2,66857,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21037099,21037600,chr2-21037099-21037600,Stable,Closing,Closing,23,Thnsl1,168124,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12692152,12692653,chr1-12692152-12692653,Stable,Closing,Closing,23,Slco5a1,173896,,,,,,,,,,,,,,,,,,,,,,,,,,
6,113471038,113471913,chr6-113471038-113471913,Stable,Stable,Closing,26,Ttll3,-81778,,,,,,,,,,,,,,,,,,,,,,,,,,
7,92384000,92384501,chr7-92384000-92384501,Stable,Stable,Closing,26,Ankrd42,197222,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104584023,104584524,chr1-104584023-104584524,Stable,Closing,Closing,23,Cdh20,184005,,,,,,,,,,,,,,,,,,,,,,,,,,
6,55836123,55836624,chr6-55836123-55836624,Stable,Closing,Closing,23,Pde1c,233180,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27988068,27988569,chr3-27988068-27988569,Stable,Closing,Closing,23,Pld1,-49373,,,,,,,,,,,,,,,,,,,,,,,,,,
14,123622832,123623333,chr14-123622832-123623333,Stable,Stable,Closing,26,Itgbl1,36638,,,,,,,,,,,,,,,,,,,,,,,,,,
15,84450447,84450948,chr15-84450447-84450948,Stable,Closing,Closing,23,Shisal1,-71244,,,,,,,,,,,,,,,,,,,,,,,,,,
2,145656641,145657142,chr2-145656641-145657142,Stable,Closing,Closing,23,Rin2,18073,,,,,,,,,,,,,,,,,,,,,,,,,,
13,49607708,49608209,chr13-49607708-49608209,Stable,Stable,Closing,26,Omd,-25246,,,Ecm2,-102898,,,,,,,,,,,,,,,,,,,,,,
11,35838304,35838805,chr11-35838304-35838805,Stable,Closing,Closing,23,Tenm2,167851,,,,,,,,,,,,,,,,,,,,,,,,,,
2,102507589,102508090,chr2-102507589-102508090,Stable,Closing,Closing,23,Slc1a2,150569,,,,,,,,,,,,,,,,,,,,,,,,,,
7,110706646,110707147,chr7-110706646-110707147,Stable,Stable,Closing,26,Ampd3,61059,,,,,,,,,,,,,,,,,,,,,,,,,,
7,92454149,92454650,chr7-92454149-92454650,Stable,Closing,Closing,23,Ankrd42,127073,,,,,,,,,,,,,,,,,,,,,,,,,,
16,96091629,96092130,chr16-96091629-96092130,Stable,Closing,Closing,23,B3galt5,143671,,,,,,,,,,,,,,,,,,,,,,,,,,
1,84881442,84882355,chr1-84881442-84882355,Stable,Closing,Closing,23,Fbxo36,-41601,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21014428,21014929,chr1-21014428-21014929,Stable,Closing,Closing,23,Efhc1,-62802,,,,,,,,,,,,,,,,,,,,,,,,,,
4,126162494,126163628,chr4-126162494-126163628,Stable,Stable,Closing,26,Oscp1,-103929,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39242995,39243496,chr6-39242995-39243496,Stable,Closing,Closing,23,Kdm7a,-106372,,,Mkrn1,154308,,,,,,,,,,,,,,,,,,,,,,
9,105774804,105775305,chr9-105774804-105775305,Stable,Closing,Closing,23,Col6a6,-86995,,,,,,,,,,,,,,,,,,,,,,,,,,
9,107716818,107717319,chr9-107716818-107717319,Stable,Stable,Closing,26,Zmynd10,-169520,,,,,,,,,,,,,,,,,,,,,,,,,,
7,125475844,125476802,chr7-125475844-125476802,Stable,Closing,Closing,23,D430042O09Rik,231086,,,,,,,,,,,,,,,,,,,,,,,,,,
11,114822731,114823688,chr11-114822731-114823688,Stable,Closing,Closing,23,Dnaic2,-95323,,,,,,,,,,,,,,,,,,,,,,,,,,
2,102463839,102464340,chr2-102463839-102464340,Stable,Stable,Closing,26,Slc1a2,194319,,,,,,,,,,,,,,,,,,,,,,,,,,
11,73325982,73326483,chr11-73325982-73326483,Stable,Closing,Closing,23,Aspa,-20990,,,,,,,,,,,,,,,,,,,,,,,,,,
6,77037656,77038157,chr6-77037656-77038157,Stable,Closing,Closing,23,Ctnna2,-156019,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20922870,20923549,chr1-20922870-20923549,Stable,Closing,Closing,23,Efhc1,28077,,,,,,,,,,,,,,,,,,,,,,,,,,
8,83186296,83186797,chr8-83186296-83186797,Stable,Closing,Closing,23,Clgn,203070,,,,,,,,,,,,,,,,,,,,,,,,,,
19,53087368,53087869,chr19-53087368-53087869,Stable,Closing,Closing,23,Mxi1,222649,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28171188,28171689,chr3-28171188-28171689,Stable,Closing,Closing,23,Tnik,91525,,,Pld1,-232493,,,,,,,,,,,,,,,,,,,,,,
8,3417634,3418560,chr8-3417634-3418560,Stable,Closing,Closing,23,Camsap3,168733,,,,,,,,,,,,,,,,,,,,,,,,,,
1,170006321,170007003,chr1-170006321-170007003,Stable,Closing,Closing,23,Ccdc190,-77673,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9602866,9603805,chr10-9602866-9603805,Stable,Stable,Closing,26,Stxbp5,151742,,,,,,,,,,,,,,,,,,,,,,,,,,
18,43421771,43422272,chr18-43421771-43422272,Stable,Stable,Closing,26,Jakmip2,109135,,,,,,,,,,,,,,,,,,,,,,,,,,
