Chr,Start,End,Peak-name,T1-vs-T0 Peak Status,T2-vs-T1 Peak Status,T2-vs-T0 Peak Status,Overall Trend,Gene symbol - closest DE gene,Distance to nearest DE gene,Peak class for CLOSEST DE gene,upstream or downstream,OTHER DE genes within 250kb,Distance to nearest DE gene,OTHER DE genes within 250kb,Distance to nearest DE gene,,,,
10,39023340,39023841,chr10-39023340-39023841,Stable,Opening,Opening,19,Lama4,-57825,,,Gm6477,174697,,,,,,
8,75135609,75136110,chr8-75135609-75136110,Stable,Opening,Opening,19,Mcm5,-26040,,,,,,,,,,
12,8674286,8674787,chr12-8674286-8674787,Stable,Opening,Opening,19,Sdc1,96536,,,,,,,,,,
15,55106496,55107105,chr15-55106496-55107105,Stable,Opening,Opening,19,Dscc1,-30397,,,,,,,,,,
1,72929709,72930210,chr1-72929709-72930210,Stable,Stable,Opening,25,Rpl37a,-218419,,,,,,,,,,
8,22397900,22398401,chr8-22397900-22398401,Stable,Opening,Opening,19,Vps36,-205091,,,Ckap2,-229740,,,,,,
8,21981631,21982288,chr8-21981631-21982288,Stable,Opening,Opening,19,Ckap2,185872,,,Vps36,210521,,,,,,
9,18431635,18432136,chr9-18431635-18432136,Stable,Stable,Opening,25,Naalad2,-109684,,,,,,,,,,
14,58149898,58150399,chr14-58149898-58150399,Stable,Stable,Opening,25,Micu2,-233637,,,,,,,,,,
13,6307230,6307731,chr13-6307230-6307731,Stable,Opening,Opening,19,Pitrm1,240418,,,,,,,,,,
1,87155745,87156246,chr1-87155745-87156246,Stable,Opening,Opening,19,Eif4e2,57668,,,,,,,,,,
9,61031492,61031993,chr9-61031492-61031993,Stable,Opening,Opening,19,Uaca,-236950,,,,,,,,,,
7,16982789,16983290,chr7-16982789-16983290,Stable,Opening,Opening,19,Ccdc8,9418,,,Slc1a5,-201449,,,,,,
13,60659532,60660033,chr13-60659532-60660033,Stable,Stable,Opening,25,Gm48583,-17742,,,,,,,,,,
3,88615970,88616471,chr3-88615970-88616471,Stable,Opening,Opening,19,Mex3a,-83575,,,,,,,,,,
19,37991654,37992155,chr19-37991654-37992155,Stable,Opening,Opening,19,Myof,-92618,,,,,,,,,,
4,58943426,58943927,chr4-58943426-58943927,Stable,Opening,Opening,19,Ptgr1,21512,,,,,,,,,,
12,112982030,112982531,chr12-112982030-112982531,Stable,Opening,Opening,19,Cdca4,-161801,,,Tedc1,173890,Ahnak2,-209836,,,,
5,135161174,135161675,chr5-135161174-135161675,Stable,Opening,Opening,19,Baz1b,25589,,,Abhd11os,-149060,,,,,,
1,135158560,135159499,chr1-135158560-135159499,Stable,Opening,Opening,19,Ptprv,-50063,,,,,,,,,,
16,13940545,13941046,chr16-13940545-13941046,Stable,Opening,Opening,19,Pdxdc1,-107397,,,,,,,,,,
3,37723586,37724087,chr3-37723586-37724087,Stable,Opening,Opening,19,Rps23-ps1,-8846,,,,,,,,,,
1,164003675,164004176,chr1-164003675-164004176,Stable,Opening,Opening,19,BC055324,-57682,,,Kifap3,-224092,,,,,,
15,34535919,34536420,chr15-34535919-34536420,Stable,Opening,Opening,19,Rpl30,-95414,,,,,,,,,,
10,22579387,22580002,chr10-22579387-22580002,Stable,Opening,Opening,19,Raet1d,-218835,,,,,,,,,,
17,24689679,24690180,chr17-24689679-24690180,Stable,Stable,Opening,25,Rps2,27936,,,Traf7,-181117,Jpt2,247239,,,,
17,56380182,56380683,chr17-56380182-56380683,Stable,Opening,Opening,19,Plin3,-102706,,,,,,,,,,
4,87096153,87096654,chr4-87096153-87096654,Stable,Stable,Opening,25,Rps6,-241493,,,,,,,,,,
17,85799115,85799616,chr17-85799115-85799616,Stable,Opening,Opening,19,Six2,-114838,,,,,,,,,,
15,34678377,34678878,chr15-34678377-34678878,Stable,Opening,Opening,19,Rpl30,-237872,,,,,,,,,,
19,41672757,41673258,chr19-41672757-41673258,Stable,Opening,Opening,19,Arhgap19,93330,,,,,,,,,,
3,93429883,93430384,chr3-93429883-93430384,Stable,Stable,Opening,25,S100a11,90104,,,S100a10,124696,,,,,,
2,105134281,105134862,chr2-105134281-105134862,Stable,Opening,Opening,19,Eif3m,-134625,,,,,,,,,,
10,17947080,17947581,chr10-17947080-17947581,Stable,Opening,Opening,19,Abracl,63679,,,,,,,,,,
4,11950757,11951258,chr4-11950757-11951258,Stable,Stable,Opening,25,Cdh17,-192610,,,,,,,,,,
10,56643581,56644082,chr10-56643581-56644082,Stable,Stable,Opening,25,Gm9118,-146240,,,,,,,,,,
13,85067002,85067503,chr13-85067002-85067503,Stable,Opening,Opening,19,Ccnh,121905,,,,,,,,,,
4,59035099,59035600,chr4-59035099-59035600,Stable,Opening,Opening,19,Ptgr1,-69660,,,,,,,,,,
2,60713873,60714374,chr2-60713873-60714374,Stable,Opening,Opening,19,Rbms1,35819,,,,,,,,,,
5,151405387,151405888,chr5-151405387-151405888,Stable,Opening,Opening,19,Rfc3,236868,,,,,,,,,,
1,163725214,163725715,chr1-163725214-163725715,Stable,Opening,Opening,19,Kifap3,53868,,,BC055324,220278,,,,,,
3,37640762,37641263,chr3-37640762-37641263,Stable,Opening,Opening,19,Rps23-ps1,73477,,,,,,,,,,
14,57998949,57999450,chr14-57998949-57999450,Stable,Opening,Opening,19,Micu2,-82688,,,,,,,,,,
3,103279260,103280184,chr3-103279260-103280184,Stable,Opening,Opening,19,Dennd2c,-176656,,,,,,,,,,
2,4881610,4882925,chr2-4881610-4882925,Stable,Opening,Opening,19,Mcm10,106789,,,,,,,,,,
6,126739958,126740737,chr6-126739958-126740737,Stable,Opening,Opening,19,Rad51ap1,182313,,,,,,,,,,
5,30270654,30271155,chr5-30270654-30271155,Stable,Opening,Opening,19,Tyms,-212452,,,,,,,,,,
13,60614111,60614612,chr13-60614111-60614612,Stable,Opening,Opening,19,Gm48583,27178,,,,,,,,,,
12,112928818,112929319,chr12-112928818-112929319,Stable,Opening,Opening,19,Cdca4,-108589,,,Ahnak2,-156624,Tedc1,227102,,,,
10,17831120,17831621,chr10-17831120-17831621,Stable,Opening,Opening,19,Abracl,179639,,,,,,,,,,
14,58074928,58075429,chr14-58074928-58075429,Stable,Opening,Opening,19,Micu2,-158667,,,,,,,,,,
19,41829610,41830111,chr19-41829610-41830111,Stable,Opening,Opening,19,Arhgap19,-63022,,,,,,,,,,
6,134888241,134888742,chr6-134888241-134888742,Stable,Opening,Opening,19,Gprc5a,176909,,,Hebp1,248780,,,,,,
17,56233743,56234244,chr17-56233743-56234244,Stable,Opening,Opening,19,Plin3,43232,,,,,,,,,,
11,117954068,117954569,chr11-117954068-117954569,Stable,Stable,Opening,25,Tk1,-138542,,,,,,,,,,
13,21896950,21897451,chr13-21896950-21897451,Stable,Opening,Opening,19,Hist1h2ap,-63924,,,Hist1h1b,-117067,,,,,,
10,38849016,38849724,chr10-38849016-38849724,Stable,Opening,Opening,19,Lama4,115791,,,,,,,,,,
10,77008102,77008971,chr10-77008102-77008971,Stable,Stable,Opening,25,Col18a1,43207,,,,,,,,,,
13,55474360,55474861,chr13-55474360-55474861,Stable,Opening,Opening,19,Mxd3,-149192,,,,,,,,,,
6,109004400,109004901,chr6-109004400-109004901,Stable,Opening,Opening,19,Edem1,-175759,,,,,,,,,,
5,3394952,3395453,chr5-3394952-3395453,Stable,Opening,Opening,19,Gm15772,-158521,,,,,,,,,,
8,21978174,21978675,chr8-21978174-21978675,Stable,Opening,Opening,19,Ckap2,189485,,,Vps36,214134,,,,,,
11,16834717,16835218,chr11-16834717-16835218,Stable,Stable,Opening,25,Fbxo48,116157,,,,,,,,,,
4,4022917,4023418,chr4-4022917-4023418,Stable,Opening,Opening,19,Penk,110113,,,Rps20,-191583,,,,,,
4,57275040,57275681,chr4-57275040-57275681,Stable,Opening,Opening,19,Pakap,158566,,,,,,,,,,
18,12925046,12925547,chr18-12925046-12925547,Stable,Opening,Opening,19,Osbpl1a,-169732,,,,,,,,,,
1,170548987,170549488,chr1-170548987-170549488,Stable,Opening,Opening,19,Olfml2b,95044,,,,,,,,,,
4,57434138,57434639,chr4-57434138-57434639,Stable,Opening,Opening,19,Pakap,0,,,,,,,,,,
1,169927935,169928436,chr1-169927935-169928436,Stable,Opening,Opening,19,Ddr2,43871,,,,,,,,,,
16,85879048,85879549,chr16-85879048-85879549,Stable,Stable,Opening,25,Adamts1,-85221,,,Gm6278,-234796,,,,,,
3,107424499,107425000,chr3-107424499-107425000,Stable,Opening,Opening,19,Alx3,170031,,,,,,,,,,
5,144761276,144761777,chr5-144761276-144761777,Stable,Opening,Opening,19,Trrap,5955,,,,,,,,,,
13,100892250,100892751,chr13-100892250-100892751,Stable,Opening,Opening,19,Ccnb1,-113600,,,Cenph,-132576,,,,,,
2,84758696,84759197,chr2-84758696-84759197,Stable,Opening,Opening,19,Selenoh,-89481,,,Slc43a3,177382,,,,,,
11,94145088,94145589,chr11-94145088-94145589,Stable,Opening,Opening,19,Nme2,-195274,,,,,,,,,,
5,134709240,134709741,chr5-134709240-134709741,Stable,Stable,Opening,25,Rfc2,-127874,,,,,,,,,,
13,97052603,97053104,chr13-97052603-97053104,Stable,Stable,Opening,25,Nsa2,76320,,,,,,,,,,
19,10071055,10071556,chr19-10071055-10071556,Stable,Opening,Opening,19,Fen1,127576,,,Incenp,-198759,,,,,,
5,33031206,33031707,chr5-33031206-33031707,Stable,Opening,Opening,19,Spon2,166477,,,,,,,,,,
1,34583792,34584293,chr1-34583792-34584293,Stable,Opening,Opening,19,Gm3052,-168742,,,,,,,,,,
16,15838415,15839022,chr16-15838415-15839022,Stable,Stable,Opening,25,Mcm4,-214518,,,,,,,,,,
6,51592425,51593052,chr6-51592425-51593052,Stable,Opening,Opening,19,Hnrnpa2b1,-131493,,,,,,,,,,
11,6065074,6065575,chr11-6065074-6065575,Stable,Opening,Opening,19,Aebp1,-203127,,,,,,,,,,
10,31144099,31144600,chr10-31144099-31144600,Stable,Opening,Opening,19,Tpd52l1,187776,,,,,,,,,,
19,53013721,53014222,chr19-53013721-53014222,Stable,Stable,Opening,25,Add3,126221,,,,,,,,,,
13,34148768,34149269,chr13-34148768-34149269,Stable,Opening,Opening,19,Serpinb6a,-230850,,,,,,,,,,
17,24488057,24488558,chr17-24488057-24488558,Stable,Opening,Opening,19,Traf7,20004,,,Rps2,229558,,,,,,
9,108401135,108401854,chr9-108401135-108401854,Stable,Opening,Opening,19,Gpx1,-62232,,,,,,,,,,
18,61534412,61534913,chr18-61534412-61534913,Stable,Opening,Opening,19,Ppargc1b,-236276,,,,,,,,,,
9,57354256,57354942,chr9-57354256-57354942,Stable,Stable,Opening,25,Man2c1,-223566,,,,,,,,,,
15,102583638,102584139,chr15-102583638-102584139,Stable,Opening,Opening,19,Aaas,-245386,,,,,,,,,,
10,39389526,39390027,chr10-39389526-39390027,Stable,Opening,Opening,19,Gm6477,-190988,,,,,,,,,,
1,170459881,170460382,chr1-170459881-170460382,Stable,Opening,Opening,19,Olfml2b,184150,,,,,,,,,,
4,116175676,116176177,chr4-116175676-116176177,Stable,Opening,Opening,19,Rad54l,-81412,,,,,,,,,,
2,152080767,152081268,chr2-152080767-152081268,Stable,Opening,Opening,19,Fam110a,-111369,,,,,,,,,,
9,106194423,106194924,chr9-106194423-106194924,Stable,Stable,Opening,25,Dusp7,173708,,,,,,,,,,
3,107528574,107529075,chr3-107528574-107529075,Stable,Opening,Opening,19,Alx3,65956,,,,,,,,,,
19,9922210,9922711,chr19-9922210-9922711,Stable,Opening,Opening,19,Incenp,-49914,,,,,,,,,,
11,6605638,6606139,chr11-6605638-6606139,Stable,Opening,Opening,19,H2afv,-178409,,,,,,,,,,
3,107411678,107412179,chr3-107411678-107412179,Stable,Opening,Opening,19,Alx3,182852,,,,,,,,,,
3,107375117,107375618,chr3-107375117-107375618,Stable,Opening,Opening,19,Alx3,219413,,,,,,,,,,
1,120115633,120116134,chr1-120115633-120116134,Stable,Opening,Opening,19,Tmem37,-48256,,,,,,,,,,
17,56366180,56366681,chr17-56366180-56366681,Stable,Opening,Opening,19,Plin3,-88704,,,,,,,,,,
19,9143575,9144076,chr19-9143575-9144076,Stable,Opening,Opening,19,Pcna-ps2,139304,,,Ahnak,-154291,,,,,,
18,12527237,12527738,chr18-12527237-12527738,Stable,Opening,Opening,19,Osbpl1a,227576,,,,,,,,,,
11,32113062,32113563,chr11-32113062-32113563,Stable,Opening,Opening,19,Mpg,112942,,,Sh3pxd2b,234257,,,,,,
3,108536451,108537134,chr3-108536451-108537134,Stable,Opening,Opening,19,Psrc1,-152612,,,,,,,,,,
13,97071792,97072293,chr13-97071792-97072293,Stable,Opening,Opening,19,Nsa2,57131,,,,,,,,,,
13,6557792,6558293,chr13-6557792-6558293,Stable,Opening,Opening,19,Pitrm1,-9643,,,,,,,,,,
2,152050216,152050717,chr2-152050216-152050717,Stable,Opening,Opening,19,Fam110a,-80818,,,,,,,,,,
10,90829325,90829826,chr10-90829325-90829826,Stable,Opening,Opening,19,Apaf1,159485,,,,,,,,,,
2,121677433,121677934,chr2-121677433-121677934,Stable,Opening,Opening,19,Serf2,-228238,,,,,,,,,,
1,63272773,63273511,chr1-63272773-63273511,Stable,Opening,Opening,19,Eef1b2,-95948,,,,,,,,,,
11,32087413,32087914,chr11-32087413-32087914,Stable,Opening,Opening,19,Mpg,138591,,,,,,,,,,
3,28558284,28558785,chr3-28558284-28558785,Stable,Opening,Opening,19,Rpl22l1,246651,,,,,,,,,,
13,58543946,58544447,chr13-58543946-58544447,Stable,Opening,Opening,19,2210016F16Rik,-164129,,,,,,,,,,
9,114667951,114668452,chr9-114667951-114668452,Stable,Stable,Opening,25,Cmtm7,88384,,,,,,,,,,
11,6065665,6066166,chr11-6065665-6066166,Stable,Opening,Opening,19,Aebp1,-203718,,,,,,,,,,
5,100200733,100201234,chr5-100200733-100201234,Stable,Opening,Opening,19,Hnrnpdl,-167156,,,,,,,,,,
7,16959447,16959948,chr7-16959447-16959948,Stable,Opening,Opening,19,Ccdc8,32760,,,Slc1a5,-178107,,,,,,
14,54476249,54476750,chr14-54476249-54476750,Stable,Opening,Opening,19,Haus4,65035,,,,,,,,,,
18,34865433,34865934,chr18-34865433-34865934,Stable,Opening,Opening,19,Cdc25c,-132440,,,,,,,,,,
1,70997406,70997907,chr1-70997406-70997907,Stable,Opening,Opening,19,Bard1,29591,,,,,,,,,,
13,100871408,100871909,chr13-100871408-100871909,Stable,Opening,Opening,19,Ccnb1,-92758,,,Cenph,-111734,,,,,,
9,108824917,108825418,chr9-108824917-108825418,Stable,Opening,Opening,19,Col7a1,128168,,,,,,,,,,
14,54475710,54476211,chr14-54475710-54476211,Stable,Opening,Opening,19,Haus4,65574,,,,,,,,,,
7,62269273,62269985,chr7-62269273-62269985,Stable,Opening,Opening,19,Peg12,191886,,,,,,,,,,
3,32189810,32190311,chr3-32189810-32190311,Stable,Opening,Opening,19,Zmat3,144481,,,,,,,,,,
5,5431828,5432329,chr5-5431828-5432329,Stable,Opening,Opening,19,Gm8773,141470,,,Steap2,232500,,,,,,
19,8839082,8839583,chr19-8839082-8839583,Stable,Opening,Opening,19,Ahnak,149701,,,,,,,,,,
17,85776832,85777333,chr17-85776832-85777333,Stable,Opening,Opening,19,Six2,-92555,,,,,,,,,,
15,55437130,55437631,chr15-55437130-55437631,Stable,Closing,Stable,24,Mtbp,119777,,,,,,,,,,
15,83473923,83474424,chr15-83473923-83474424,Stable,Stable,Stable,27,Scube1,130575,,,A4galt,-247201,,,,,,
4,134591510,134592011,chr4-134591510-134592011,Stable,Opening,Stable,21,Aunip,-80511,,,,,,,,,,
5,45472851,45473352,chr5-45472851-45473352,Stable,Closing,Stable,24,Lap3,20022,,,Ncapg,196567,,,,,,
3,89159142,89160301,chr3-89159142-89160301,Stable,Opening,Stable,21,Efna4,173089,,,,,,,,,,
17,56289326,56290022,chr17-56289326-56290022,Stable,Stable,Stable,27,Plin3,-11850,,,,,,,,,,
4,63738932,63739862,chr4-63738932-63739862,Stable,Opening,Stable,21,Tnc,219923,,,,,,,,,,
1,33494770,33495271,chr1-33494770-33495271,Stable,Opening,Stable,21,Prim2,-40960,,,,,,,,,,
4,132638825,132639326,chr4-132638825-132639326,Stable,Stable,Stable,27,Rpa2,129006,,,,,,,,,,
17,33685048,33685549,chr17-33685048-33685549,Stable,Opening,Stable,21,Rps28,133478,,,Tapbp,230350,,,,,,
9,108290136,108290637,chr9-108290136-108290637,Stable,Opening,Stable,21,Gpx1,48266,,,,,,,,,,
10,128322330,128322831,chr10-128322330-128322831,Stable,Opening,Stable,21,Ankrd52,54284,,,Timeless,-90265,Esyt1,187134,Rbms2,-190772,Rpl41,225283
2,118901105,118901606,chr2-118901105-118901606,Stable,Opening,Stable,21,Knstrn,-87102,,,,,,,,,,
3,122684797,122685298,chr3-122684797-122685298,Stable,Closing,Stable,24,Pde5a,43649,,,,,,,,,,
2,131262073,131262574,chr2-131262073-131262574,Stable,Opening,Stable,21,Hspa12b,-134793,,,,,,,,,,
8,54724211,54724712,chr8-54724211-54724712,Stable,Opening,Stable,21,Spcs3,-203778,,,,,,,,,,
4,108460386,108460887,chr4-108460386-108460887,Stable,Opening,Stable,21,Gpx7,-59996,,,,,,,,,,
2,125290513,125291014,chr2-125290513-125291014,Stable,Stable,Stable,27,Fbn1,9580,,,,,,,,,,
10,93771925,93772426,chr10-93771925-93772426,Stable,Opening,Stable,21,Snrpf,-188896,,,,,,,,,,
8,104442460,104443163,chr8-104442460-104443163,Stable,Stable,Stable,27,Cmtm3,-103050,,,,,,,,,,
17,27505361,27505862,chr17-27505361-27505862,Stable,Stable,Stable,27,Rps10,124556,,,,,,,,,,
4,136333154,136333655,chr4-136333154-136333655,Stable,Closing,Stable,24,Tcea3,-85425,,,Luzp1,136106,,,,,,
17,35996914,35997415,chr17-35996914-35997415,Stable,Opening,Stable,21,Nrm,-135596,,,Tubb5,-162993,,,,,,
4,11914511,11915012,chr4-11914511-11915012,Stable,Stable,Stable,27,Cdh17,-156364,,,,,,,,,,
3,130729458,130729959,chr3-130729458-130729959,Stable,Stable,Stable,27,Rpl34,-2627,,,,,,,,,,
2,154555194,154555695,chr2-154555194-154555695,Stable,Stable,Stable,27,E2f1,3712,,,,,,,,,,
1,169948748,169949249,chr1-169948748-169949249,Stable,Stable,Stable,27,Ddr2,23058,,,,,,,,,,
13,73881987,73882488,chr13-73881987-73882488,Stable,Stable,Stable,27,Trip13,28859,,,,,,,,,,
15,75997556,75998275,chr15-75997556-75998275,Stable,Stable,Stable,27,Eef1d,-103351,,,Gsdmd,-135229,,,,,,
7,45333423,45333924,chr7-45333423-45333924,Stable,Stable,Stable,27,Rpl13a,-207865,,,Rps11,-211044,,,,,,
7,19715468,19715969,chr7-19715468-19715969,Stable,Stable,Stable,27,Bcl3,92493,,,,,,,,,,
3,88141885,88142386,chr3-88141885-88142386,Stable,Opening,Stable,21,Iqgap3,-59914,,,Crabp2,-193219,,,,,,
19,47323398,47323899,chr19-47323398-47323899,Stable,Opening,Stable,21,Sh3pxd2a,-63224,,,Calhm2,-218045,,,,,,
19,38038192,38038693,chr19-38038192-38038693,Stable,Closing,Stable,24,Myof,-139156,,,,,,,,,,
11,98794508,98795009,chr11-98794508-98795009,Stable,Stable,Stable,27,Cdc6,112792,,,Top2a,197934,,,,,,
2,125162481,125163183,chr2-125162481-125163183,Stable,Closing,Stable,24,Fbn1,137411,,,,,,,,,,
10,72654537,72655238,chr10-72654537-72655238,Stable,Opening,Stable,21,Zwint,0,,,,,,,,,,
16,17132146,17132647,chr16-17132146-17132647,Stable,Opening,Stable,21,2610318N02Rik,-18748,,,,,,,,,,
7,19664631,19665563,chr7-19664631-19665563,Stable,Opening,Stable,21,Bcl3,142899,,,,,,,,,,
15,59373943,59374444,chr15-59373943-59374444,Stable,Opening,Stable,21,Nsmce2,0,,,,,,,,,,
13,97240294,97241617,chr13-97240294-97241617,Stable,Opening,Stable,21,Nsa2,-110870,,,,,,,,,,
6,16977983,16978697,chr6-16977983-16978697,Stable,Opening,Stable,21,Tes,86452,,,,,,,,,,
4,133013449,133013950,chr4-133013449-133013950,Stable,Stable,Stable,27,Sytl1,239140,,,Rpa2,-245117,,,,,,
10,31295668,31296169,chr10-31295668-31296169,Stable,Opening,Stable,21,Tpd52l1,36207,,,,,,,,,,
5,45402580,45403081,chr5-45402580-45403081,Stable,Opening,Stable,21,Lap3,90293,,,,,,,,,,
9,50333389,50333890,chr9-50333389-50333890,Stable,Stable,Stable,27,Rpl10-ps3,10311,,,,,,,,,,
14,20707728,20708532,chr14-20707728-20708532,Stable,Opening,Stable,21,Sec24c,-33420,,,,,,,,,,
19,35125173,35125868,chr19-35125173-35125868,Stable,Opening,Stable,21,Kif20b,-202812,,,,,,,,,,
12,17390193,17390949,chr12-17390193-17390949,Stable,Stable,Stable,27,Pdia6,-123648,,,,,,,,,,
16,85680401,85680902,chr16-85680401-85680902,Stable,Closing,Stable,24,Gm6278,-36149,,,Adamts1,112925,,,,,,
7,16728495,16728996,chr7-16728495-16728996,Stable,Opening,Stable,21,Slc1a5,52344,,,,,,,,,,
13,110144982,110145483,chr13-110144982-110145483,Stable,Opening,Stable,21,Plk2,249563,,,,,,,,,,
2,121289374,121289875,chr2-121289374-121289875,Stable,Stable,Stable,27,Adal,-148946,,,Serf2,159320,,,,,,
4,136249753,136250254,chr4-136249753-136250254,Stable,Stable,Stable,27,Tcea3,-2024,,,Luzp1,219507,,,,,,
11,32383477,32384303,chr11-32383477-32384303,Stable,Stable,Stable,27,Sh3pxd2b,-35657,,,Mpg,-156972,,,,,,
1,175880413,175881154,chr1-175880413-175881154,Stable,Stable,Stable,27,Exo1,0,,,,,,,,,,
16,85422800,85423301,chr16-85422800-85423301,Stable,Opening,Stable,21,Gm6278,220951,,,,,,,,,,
19,8741317,8741818,chr19-8741317-8741818,Stable,Stable,Stable,27,Ahnak,247466,,,,,,,,,,
2,164745679,164746568,chr2-164745679-164746568,Stable,Stable,Stable,27,Ube2c,23330,,,,,,,,,,
10,22609019,22609520,chr10-22609019-22609520,Stable,Opening,Stable,21,Raet1d,-248467,,,,,,,,,,
6,126772191,126772692,chr6-126772191-126772692,Stable,Opening,Stable,21,Rad51ap1,150358,,,,,,,,,,
6,72952170,72952671,chr6-72952170-72952671,Stable,Stable,Stable,27,Tmsb10,4676,,,,,,,,,,
7,38174233,38174734,chr7-38174233-38174734,Stable,Stable,Stable,27,Ccne1,-76249,,,,,,,,,,
11,59732632,59733133,chr11-59732632-59733133,Stable,Stable,Stable,27,Mprip,-71327,,,,,,,,,,
1,87035555,87036056,chr1-87035555-87036056,Stable,Stable,Stable,27,Eif4e2,177858,,,,,,,,,,
7,98734903,98735404,chr7-98734903-98735404,Stable,Stable,Stable,27,Lrrc32,-245620,,,,,,,,,,
3,90508218,90508719,chr3-90508218-90508719,Stable,Opening,Stable,21,S100a6,104163,,,,,,,,,,
2,60978642,60979383,chr2-60978642-60979383,Stable,Stable,Stable,27,Rbms1,-228449,,,,,,,,,,
9,123138909,123139410,chr9-123138909-123139410,Stable,Stable,Stable,27,Kif15,-187863,,,,,,,,,,
15,97112789,97113290,chr15-97112789-97113290,Stable,Closing,Stable,24,Slc38a4,-117969,,,,,,,,,,
3,145905345,145906062,chr3-145905345-145906062,Stable,Stable,Stable,27,Rpl36a-ps2,-26325,,,Ddah1,-146670,,,,,,
1,71763525,71764026,chr1-71763525-71764026,Stable,Closing,Stable,24,Fn1,-178005,,,,,,,,,,
11,75132232,75132733,chr11-75132232-75132733,Stable,Opening,Stable,21,Rpa1,165433,,,,,,,,,,
3,10249023,10249818,chr3-10249023-10249818,Stable,Stable,Stable,27,Fabp5,-236475,,,,,,,,,,
5,33782457,33782958,chr5-33782457-33782958,Stable,Stable,Stable,27,Tacc3,-124329,,,,,,,,,,
9,122865646,122866147,chr9-122865646-122866147,Stable,Stable,Stable,27,Kif15,84899,,,,,,,,,,
10,23815097,23815739,chr10-23815097-23815739,Stable,Opening,Stable,21,Vnn1,78949,,,,,,,,,,
18,67464615,67465116,chr18-67464615-67465116,Stable,Stable,Stable,27,Impa2,-175429,,,,,,,,,,
11,33070540,33071041,chr11-33070540-33071041,Stable,Stable,Stable,27,Npm1,81246,,,,,,,,,,
10,41477120,41477621,chr10-41477120-41477621,Stable,Closing,Stable,24,Mical1,-806,,,,,,,,,,
3,145894087,145894588,chr3-145894087-145894588,Stable,Stable,Stable,27,Rpl36a-ps2,-15067,,,Ddah1,-135412,,,,,,
14,57760537,57761038,chr14-57760537-57761038,Stable,Stable,Stable,27,Micu2,155223,,,,,,,,,,
5,151650482,151650983,chr5-151650482-151650983,Stable,Stable,Stable,27,Rfc3,-7726,,,,,,,,,,
19,9066111,9066612,chr19-9066111-9066612,Stable,Stable,Stable,27,Ahnak,-76827,,,Pcna-ps2,216768,,,,,,
1,171171089,171171590,chr1-171171089-171171590,Stable,Stable,Stable,27,Adamts4,78831,,,,,,,,,,
2,36011148,36011649,chr2-36011148-36011649,Stable,Stable,Stable,27,Lhx6,70304,,,Ptgs1,218777,,,,,,
10,82622657,82623158,chr10-82622657-82623158,Stable,Stable,Stable,27,Glt8d2,27275,,,,,,,,,,
6,17054765,17056035,chr6-17054765-17056035,Stable,Closing,Stable,24,Tes,9114,,,,,,,,,,
7,145110616,145111117,chr7-145110616-145111117,Stable,Closing,Stable,24,Ccnd1,-180685,,,,,,,,,,
7,100582727,100583228,chr7-100582727-100583228,Stable,Opening,Stable,21,Coa4,-45656,,,,,,,,,,
3,88424904,88425405,chr3-88424904-88425405,Stable,Opening,Stable,21,Mex3a,106990,,,,,,,,,,
6,124759265,124759766,chr6-124759265-124759766,Stable,Stable,Stable,27,Cdca3,69781,,,,,,,,,,
10,76468632,76469133,chr10-76468632-76469133,Stable,Stable,Stable,27,Lss,62455,,,,,,,,,,
6,135197975,135198476,chr6-135197975-135198476,Stable,Stable,Stable,27,Hebp1,-60453,,,Gprc5a,-132324,,,,,,
13,55512832,55513683,chr13-55512832-55513683,Stable,Stable,Stable,27,Mxd3,-187664,,,,,,,,,,
4,89524547,89525265,chr4-89524547-89525265,Stable,Opening,Stable,21,Cdkn2b,-218248,,,,,,,,,,
8,104370019,104370520,chr8-104370019-104370520,Stable,Stable,Stable,27,Cmtm3,-30609,,,,,,,,,,
13,34130003,34131623,chr13-34130003-34131623,Stable,Opening,Stable,21,Serpinb6a,-212085,,,,,,,,,,
3,9885489,9885990,chr3-9885489-9885990,Stable,Opening,Stable,21,Fabp5,126558,,,,,,,,,,
17,12916005,12916506,chr17-12916005-12916506,Stable,Stable,Stable,27,Gm7162,-96186,,,,,,,,,,
19,8988814,8990836,chr19-8988814-8990836,Stable,Stable,Stable,27,Ahnak,0,,,,,,,,,,
1,45304223,45304724,chr1-45304223-45304724,Stable,Closing,Stable,24,Col3a1,6814,,,,,,,,,,
4,64148898,64149399,chr4-64148898-64149399,Stable,Opening,Stable,21,Tnc,-189113,,,,,,,,,,
4,24620184,24620685,chr4-24620184-24620685,Stable,Opening,Stable,21,Mms22l,-123733,,,,,,,,,,
5,64183688,64184189,chr5-64183688-64184189,Stable,Opening,Stable,21,Tbc1d1,-27383,,,,,,,,,,
8,74949539,74950040,chr8-74949539-74950040,Stable,Opening,Stable,21,Mcm5,159529,,,,,,,,,,
19,9946938,9947439,chr19-9946938-9947439,Stable,Closing,Stable,24,Incenp,-74642,,,,,,,,,,
14,7952632,7953334,chr14-7952632-7953334,Stable,Stable,Stable,27,Flnb,-134675,,,,,,,,,,
13,55099898,55100399,chr13-55099898-55100399,Stable,Stable,Stable,27,Mxd3,224769,,,,,,,,,,
1,135147157,135147785,chr1-135147157-135147785,Stable,Stable,Stable,27,Ptprv,-38660,,,,,,,,,,
